Compound identifier,Trivial name,Final ABS IC50 (nM),Final iGc IC50 (nM),Final LGc IC50 (nM),Final mGc IC50 (nM),FC iGC-ABS,FC LGc-ABS,FC mGc-ABS,SMILE
NCGC00093704,Cyclosporin A,630.96,,1412.54,,,2.24,,CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
NCGC00015288,CYCLOTHIAZIDE,5000.00,,2238.72,,,0.45,,N[S+]([O-])(=O)C1=C(Cl)C=C2NC(N[S+]([O-])(=O)C2=C1)C3CC\4CC3\C=C4
NCGC00164531,CYSTINE,5000.00,,501.19,,,0.10,,N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O
"Dacinostat, LAQ824","Dacinostat, LAQ824",40.80,45.30,2266.10,,1.11,55.54,,O=C(NO)/C=C/C1=CC=C(CN(CCC2=CNC3=C2C=CC=C3)CCO)C=C1
NCGC00164548,Danofloxacin mesylate,1995.26,,2818.38,,,1.41,,CN5C[C@@H]4C[C@H]5CN4c1cc2N(C=C(C(=O)O)C(=O)c2cc1F)C3CC3
NCGC00093700,DAPH,5000.00,,3981.07,,,0.80,,O=C1NC(=O)C2=C1C=C(NC3=CC=CC=C3)C(=C2)NC4=CC=CC=C4
NCGC00024246,Daunorubicinum,3981.07,,4466.84,,,1.12,,CC(=O)[C@@]4(O)C[C@H](O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1)c5c(O)c3C(=O)c2c(OC)cccc2C(=O)c3c(O)c5C4
Decitabine,Decitabine,5000.00,5000.00,,,1.00,,,NC1=NC(N([C@@H]2O[C@H](CO)[C@@H](O)C2)C=N1)=O
Decoquinate,Decoquinate,2.40,36.00,,,15.00,,,O=C(OCC)C1=CNc2cc(OCC)c(OCCCCCCCCCC)cc2C1=O
NCGC00016250,Demecarium bromide,398.11,,5000.00,,,12.56,,[Br-].[Br-].O=C(Oc1ccccc1[N+](C)(C)C)N(C)CCCCCCCCCCN(C)C(=O)Oc2ccccc2[N+](C)(C)C
NCGC00013034,Depoestradiol,5000.00,,562.34,,,0.11,,Oc4cc5CC[C@@H]1[C@H](CC[C@]2(C)[C@H](CC[C@@H]12)OC(=O)CCC3CCCC3)c5cc4
NCGC00168786,DESERPIDINE,316.23,,2511.89,,,7.94,,COc1cc(cc(OC)c1OC)C(=O)O[C@@H]3C[C@@H]4CN5CCc2c6ccccc6nc2[C@H]5C[C@@H]4[C@@H]([C@H]3OC)C(=O)OC
NCGC00167516,DESLORELIN ACETATE,3981.07,,5000.00,,,1.26,,CC(=O)O.O=C1CC[C@H](N1)C(=O)N[C@@H](Cc2cncn2)C(=O)N[C@@H](Cc4cnc3ccccc34)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc5ccc(O)cc5)C(=O)N[C@H](Cc7cnc6ccccc67)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N8CCC[C@H]8C(=O)NCC
MMV000004,DHA,0.24,0.90,2.17,1500.00,3.75,9.04,6250.00,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4
DHA-piperazine,DHA-piperazine,3.10,54.91,25.70,,17.71,8.29,,Nc1cc2Nc3ccccc3Oc2cc1.CC12OC3OC(C(C)C4CCC(C)C(CC1)C43OO2)N1CCNCC1
NCGC00015380,DIAZOXIDE,5000.00,,501.19,,,0.10,,C\C1=N\C2=C(C=C(Cl)C=C2)[S+]([O-])(=O)N1
NCGC00160499,DICARBINUM,5000.00,,1258.93,,,0.25,,Cc3cc1c(NC2CCN(C)CC12)cc3
NCGC00166066,DIDECYL DIMETHYL AMMONIUM,3981.07,,5000.00,,,1.26,,[Br-].C[N+](C)(CCCCCCCCCC)CCCCCCCCCC
NCGC00016335,Dienestrol,5000.00,,1122.02,,,0.22,,Oc1ccc(cc1)C(=C\C)/C(=C/C)c2ccc(O)cc2
NCGC00163163,DIHYDROERGOCRISTINE,5000.00,,3548.13,,,0.71,,CN1C[C@@H](C[C@@H]2c3cccc4ncc(C[C@@H]12)c34)C(=O)N[C@@]8(O[C@]7(O)N([C@@H](Cc5ccccc5)C(=O)N6CCC[C@H]67)C8=O)C(C)C
PM9,Dimer 9,87.80,542.00,623.00,,6.17,7.10,,CC1Cc2c(C(C)N1)c(OC)cc(O)c2c1cc(c(O)c2c1cc(C)cc2OC)c1cc(c2c(O)cc(OC)c3C(C)NC(C)Cc23)c2cc(C)cc(OC)c2c1O
NCGC00013216,Dimercaprol,2511.89,,2818.38,,,1.12,,OCC(S)CS
NCGC00167963,DIPHENOXYLATE HYDROCHLORIDE,3162.28,,5000.00,,,1.58,,Cl.O=C(OCC)C3(CCN(CCC(C#N)(c1ccccc1)c2ccccc2)CC3)c4ccccc4
NCGC00166113,DIPHENYLCYCLOPROPENONE,5000.00,,3162.28,,,0.63,,O=C2C(=C2c1ccccc1)c3ccccc3
NCGC00181104,DITHIAZANINE IODIDE,3162.28,,5000.00,,,1.58,,[Cl-].CCN3c4ccccc4SC3=CC=CC=Cc2sc1ccccc1[n+]2CC
MMV098836,DNDI1417411,5000.00,,2753.00,,,0.55,,COc1cc(NS(=O)(=O)c2ccc(C)cc2)c3ncccc3c1
NCGC00181306,DOCETAXEL,19.95,,5000.00,,,250.59,,CC(C)(C)OC(=O)N[C@@H](c1ccccc1)[C@@H](O)C(=O)O[C@H]5C[C@@]6(O)[C@@H](OC(=O)c2ccccc2)[C@H]4[C@@](C)([C@@H](O)C[C@H]3OC[C@]34OC(C)=O)C(=O)[C@H](O)C(=C5C)C6(C)C
NCGC00016977,Dorzolamide hydrochloride,5000.00,,891.25,,,0.18,,Cl.NS(=O)(=O)c1cc2[C@H](C[C@H](C)S(=O)(=O)c2s1)NCC
NCGC00163543,DOXORUBICIN,5000.00,,1778.28,,,0.36,,Cl.OCC(=O)[C@@]4(O)C[C@H](O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1)c5c(O)c3C(=O)c2c(OC)cccc2C(=O)c3c(O)c5C4
MMV000011,Doxycycline hydrochloride,1258.93,5000.00,5000.00,5000.00,3.97,3.97,3.97,C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(=C(C(=O)N)C(=O)[C@@]3(O)C(=C2C(=O)c4c(O)cccc14)O)O
DSM265,DSM265,7.80,1000.00,5000.00,,128.21,641.03,,Cc1cc(Nc2ccc(cc2)S(F)(F)(F)(F)F)n2c(n1)nc(n2)C(F)(F)C
MMV018912,DSM265,4.30,5000.00,,5000.00,1162.79,,1162.79,Cc1cc(Nc2ccc(cc2)S(F)(F)(F)(F)F)n2c(n1)nc(n2)C(F)(F)C
PM8,Ealapasamine C,63.00,545.00,889.00,,8.65,14.11,,CC1Cc2c(C(C)N1)c(OC)cc(O)c2c1cc(c(O)c2c1cc(C)cc2OC)c1cc(c2c(O)cc3CC(C)NC(C)c3c2OC)c2cc(C)cc(OC)c2c1O
MMV1634492,Eberconazole,1482.62,,231.60,,,0.16,,ClC1=C2C(=CC(=C1)Cl)CCC4=C(C2[N]3C=NC=C3)C=CC=C4
NCGC00181159,ECTEINASCIDIN,1.26,,316.23,,,251.19,,CC(=O)Oc1c5c(c2OCOc2c1C)[C@@H]7COC(=O)[C@@]4(NCCc3cc(O)c(cc34)OC)CS[C@H]5[C@H]8[C@H]6c9c(C[C@H](N6C)[C@H](O)N78)cc(C)c(OC)c9O
NCGC00159337,EFAVIRENZ,5000.00,,3548.13,,,0.71,,FC(F)(F)[C@@]3(C#CC1CC1)OC(=O)Nc2ccc(Cl)cc23
NCGC00092329,Eliprodil,1584.89,,5000.00,,,3.15,,OC(CN1CCC(CC1)Cc2ccc(F)cc2)c3ccc(Cl)cc3
MMV034055,ELQ-300,5.00,5000.00,,5000.00,1000.00,,1000.00,COc1cc2[nH]c(C)c(c(=O)c2cc1Cl)c1ccc(cc1)Oc1ccc(cc1)OC(F)(F)F
ELQ-300,ELQ-300,2.20,,71.90,,,32.68,,COc1cc2[nH]c(C)c(c(=O)c2cc1Cl)c1ccc(cc1)Oc1ccc(cc1)OC(F)(F)F
NCGC00024379,EMETINE,251.19,,1258.93,,,5.01,,CC[C@H]1CN2CCC3=CC(=C(OC)C=C3[C@@H]2C[C@@H]1C[C@H]4NCCC5=CC(=C(OC)C=C45)OC)OC
NCGC00015400,Enoximone,5000.00,,3162.28,,,0.63,,CSC1=CC=C(C=C1)C(=O)\C2=C(/C)NC(=O)N2
Epoxomycin,Epoxomycin,8.00,12.10,0.42,3.80,1.51,0.05,0.48,CC[C@H](C)[C@@H](C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)[C@]1(CO1)C)NC(=O)[C@H]([C@@H](C)CC)N(C)C(=O)C
NCGC00093857,Etazolate hydrochloride,5000.00,,3162.28,,,0.63,,Cl.C/C(C)=N\Nc2c(cnc1c2cnn1CC)C(=O)OCC
MMV687801,Ethambutol,5000.00,,3162.28,,,0.63,,CC[C@@H](CO)NCCN[C@@H](CC)CO
NCGC00091387,Ethidium bromide,79.43,,1258.93,,,15.85,,[Br-].CC[n+]3c4cc(N)ccc4c1ccc(N)cc1c3c2ccccc2
NCGC00015416,"Ethylene glycol-bis(2-aminoethylether)-N,N,N',N'-tetraacetic acid",5000.00,,3548.13,,,0.71,,O=C(O)CN(CC(=O)O)CCOCCOCCN(CC(=O)O)CC(=O)O
MMV639951,Everolimus,2060.00,,5000.00,,,2.43,,O=C2N4C(C(=O)OC(C(CC1CC(OC)C(OCCO)CC1)C)CC(=O)C(\C=C(\C(O)C(OC)C(=O)C(C)CC(/C=C/C=C/C=C(/C(CC3OC(C2=O)(O)C(CC3)C)OC)C)C)C)C)CCCC4
MMV665916,F3407-3786,72.60,,5000.00,,,68.87,,COc1ccccc1CNC(=O)CCN2C(=O)Nc3ccccc3C2=O
MMV982301,FAR797,614.80,682.90,,2965.00,1.11,,4.82,
"Fedratinib (SAR302503, TG101348)","Fedratinib (SAR302503, TG101348)",66.90,96.90,1000.00,,1.45,14.95,,CC(C)(C)NS(C1=CC=CC(NC2=NC(NC3=CC=C(OCCN4CCCC4)C=C3)=NC=C2C)=C1)(=O)=O
MMV003143,Fenbendazole,5000.00,,2818.38,,,0.56,,S(C2=CC1=C([NH]C(=N1)NC(=O)OC)C=C2)C3=CC=CC=C3
NCGC00015437,Fenofibrate,5000.00,,2818.38,,,0.56,,O=C(c1ccc(Cl)cc1)c2ccc(OC(C)(C)C(=O)OC(C)C)cc2
MMV000056,Ferroquine (SSR97193),9.50,29.10,,5000.00,3.06,,526.32,CN(CC1=C(CNc2ccnc3c2ccc(c3)Cl)C=C(C1)[Fe]C1=CC=CC1)C
NCGC00167477,FIDARESTAT,5000.00,,1000.00,,,0.20,,NC(=O)[C@@H]2C[C@]1(NC(=O)NC1=O)c3cc(F)ccc3O2
NCGC00015439,FLUMAZENIL,5000.00,,3548.13,,,0.71,,CCOC(=O)C1=C2CN(C)C(=O)C3=C(C=CC(=C3)F)[N]2C=N1
NCGC00093935,Flupirtine maleate,3162.28,,5000.00,,,1.58,,Nc1nc(ccc1NC(=O)OCC)NCc2ccc(F)cc2.O=C(O)/C=C\C(=O)O
NCGC00163699,FUMAGILLIN,19.95,,5000.00,,,250.59,,C[C@@]1(O[C@@H]1C\C=C(\C)C)[C@H]3[C@H](OC)[C@H](OC(=O)\C=C\C=C\C=C\C=C\C(=O)O)CC[C@@]23CO2
NCGC00016241,Furosemide,5000.00,,1122.02,,,0.22,,NS(=O)(=O)c2cc(c(NCc1ccco1)cc2Cl)C(=O)O
MMV1645051,Furvina,5000.00,,485.50,,,0.10,,BrC1=CC=C(O1)\C=C(/Br)[N](=O)=O
NCGC00160469,Gamolenic acid,5000.00,,3162.28,,,0.63,,O=C(O)CCCC\C=C/C/C=C\C/C=C\CCCCC
MMV000130,Ganaplacide/KAF156,6.00,3300.00,,5000.00,550.00,,833.33,NCC(=O)N1CCn2c(C1(C)C)nc(c2Nc1ccc(cc1)F)c1ccc(cc1)F
NCGC00159455,Gefitinib,794.33,,5000.00,,,6.29,,Fc1ccc(cc1Cl)Nc2ncnc3cc(OC)c(cc23)OCCCN4CCOCC4
NCGC00015479,Genistein,5000.00,,446.68,,,0.09,,OC1=CC=C(C=C1)\C2=C\OC3=C(C(=CC(=C3)O)O)C2=O
gentian violet,gentian violet,600.00,,,5000.00,,,8.33,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-]
Givinostat (ITF2357),Givinostat (ITF2357),90.70,128.30,1000.00,,1.41,11.03,,CC[N+](CC)([H])CC1=CC=C(C=C(COC(NC2=CC=C(C(NO)=O)C=C2)=O)C=C3)C3=C1.[Cl-].O
NCGC00160649,Glycyclamide,5000.00,,707.95,,,0.14,,O=C(NC1CCCCC1)NS(=O)(=O)c2ccc(C)cc2
GNF179,GNF179,4.31,19.92,9.15,3.36,4.62,2.12,0.78,CC1(C2=NC(=C(N2CCN1C(=O)CN)NC3=CC=C(C=C3)Cl)C4=CC=C(C=C4)F)C
NCGC00024831,GR 4661,5000.00,,2238.72,,,0.45,,COC1=CC=C(CNC(=O)\C=C\C2=CC=C3[NH]C=C(CCN(C)C)C3=C2)C=C1
NCGC00095992,GRAMICIDIN A,0.50,,5000.00,,,9976.31,,CC(C)C[C@@H]5NC(=O)[C@H](CCCN)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCN)NC(=O)[C@@H](NC(=O)[C@@H]3CCCN3C(=O)[C@@H](Cc4ccccc4)NC5=O)C(C)C)C(C)C
NCGC00164512,GUAIACOL CARBONATE,5000.00,,2238.72,,,0.45,,COc2ccccc2OC(=O)Oc1ccccc1OC
NCGC00160462,Guanoxano,5000.00,,891.25,,,0.18,,N=C(N)NCC1COc2ccccc2O1
NCGC00091225,HALAZONE,5000.00,,562.34,,,0.11,,O=S(=O)(N(Cl)Cl)c1ccc(cc1)C(=O)O
MMV000012,Halofantrine ,1.10,15.13,31.90,7.50,13.75,29.00,6.82,CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c3cc(ccc13)C(F)(F)F
HC Toxin,HC Toxin,15.10,30.20,351.40,,2.00,23.27,,[H][C@@]12C(N([H])[C@@H](C)C(N([H])[C@H](C)C(N([H])[C@](CCCCCC([C@@H]3CO3)=O)([H])C(N1CCC2)=O)=O)=O)=O
NCGC00160275,HELIOMYCINUM,2511.89,,5000.00,,,1.99,,Oc5cc1c3c4c(C(=O)c2c(O)cc(O)c(C(=O)C1(C)C)c23)c(O)cc(C)c45
Hesperadin,Hesperadin,1000.00,5000.00,1000.00,,5.00,1.00,,O=C(NC1=C/2C=C(NS(CC)(=O)=O)C=C1)C2=C(NC3=CC=C(CN4CCCCC4)C=C3)\C5=CC=CC=C5
NCGC00159430,HEXOBARBITAL,5000.00,,562.34,,,0.11,,CC1(C(=O)N=C(O)N(C)C1=O)C2=CCCCC2
NCGC00016230,"Homatropine hydrobromide (R,S)",5000.00,,1412.54,,,0.28,,Br.CN3[C@@H]1CC[C@H]3C[C@H](C1)OC(=O)C(O)c2ccccc2
Homidium bromide,Homidium bromide,100.00,,,375.00,,,3.75,CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N.[Br-]
MMV000013,HYDROXYCHLOROQUINE SULFATE,630.96,1340.00,5000.00,5000.00,2.12,7.92,7.92,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12
NCGC00015520,HYDROXYUREA,5000.00,,2511.89,,,0.50,,NC(=O)NO
NCGC00093976,Idarubicin,630.96,,2818.38,,,4.47,,Cl.CC(=O)[C@@]4(O)C[C@H](O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1)c5c(O)c3C(=O)c2ccccc2C(=O)c3c(O)c5C4
Isoquine,Isoquine,9.00,,5000.00,,,555.56,,ClC1=CC2=NC=CC(NC3=CC=C(CNC(C)(C)C)C(O)=C3)=C2C=C1.Cl.Cl
MMV637528,Itraconazole,4350.00,,5000.00,,,1.15,,ClC1=C(C=CC(=C1)Cl)C6(OC(COC5=CC=C(N4CCN(C3=CC=C([N]2[C](=O)[N](C(CC)C)N=C2)C=C3)CC4)C=C5)CO6)C[N]7N=CN=C7
NCGC00094047,Ivermectin,794.33,,3981.07,,,5.01,,CC[C@@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]3C[C@@H](C\C=C(C)\[C@@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)[C@@H](C)\C=C\C=C\6CO[C@@H]7[C@H](O)\C(=C/[C@@H](C(=O)O3)[C@]67O)C)O2
PM3b,Jozibrevine C,265.00,1240.00,1330.00,,4.68,5.02,,CC1Cc2ccc(c(O)c2C(C)N1)c1c(C)c(c(O)c2c1cccc2OC)c1c(O)c2c(cccc2OC)c(c2ccc3CC(C)NC(C)c3c2O)c1C
PM10,Jozilebomine A,167.00,1520.00,860.00,,9.10,5.15,,CC1Cc2ccc(c(O)c2C(C)N1)c1cc(c(O)c2c1cc(C)cc2OC)c1c(O)c2c(cccc2OC)c(c2ccc3CC(C)NC(C)c3c2O)c1C
PM3a,Jozimine A2,151.00,375.00,511.00,,2.48,3.38,,CC1Cc2ccc(c(O)c2C(C)N1)c1c(C)c(c(O)c2c1cccc2OC)c1c(O)c2c(cccc2OC)c(c2ccc3CC(C)NC(C)c3c2O)c1C
MMV892646,JPC-3210,9.00,4.84,,5000.00,0.54,,555.56,Oc1c(CNC(C)(C)C)cc(cc1c1cnc(c(c1)F)C(F)(F)F)C(C)(C)C
MMV1581373,KAE609 analog,0.55,1.14,,0.11,2.07,,0.20,C[C@H]1CC2=C([C@]3(N1)C4=C(C=CC(=C4)Cl)NC3=O)NC5=CC(=C(C=C25)F)Cl
NITD246,KAF246,0.08,2.10,1.77,2.36,26.30,22.08,29.44,CC1CC2=C(C3(N1)C4=C(C=CC(=C4)Cl)NC3=O)NC5=CC(=C(C=C25)F)F
KAI407,KAI407,34.60,414.98,329.25,156.37,11.99,9.52,4.52,CN(C(=O)C1=CN2C(C=N1)=NC=C2C1=CC=C(C=C1)C#N)C1=CC=C(C=C1)C(F)(F)F
KDU691,KDU691,29.90,353.75,220.40,149.86,11.83,7.37,5.01,CNC1=CC=C(C=C1)N(C)C(=O)C1=CN2C(C=N1)=NC=C2C1=CC=C(Cl)C=C1
MMV650381,KDU691,42.70,2257.00,,767.80,52.86,,17.98,CNC1=CC=C(C=C1)N(C)C(=O)C1=CN2C(C=N1)=NC=C2C1=CC=C(Cl)C=C1
NCGC00095029,LASALOCID SODIUM,794.33,,5000.00,,,6.29,,[Na+].C[C@H]2C[C@](CC)(O[C@@H]2[C@@H](CC)C(=O)[C@@H](C)[C@@H](O)[C@H](C)CCc1ccc(C)c(O)c1C([O-])=O)[C@H]3CC[C@](O)(CC)[C@H](C)O3
NCGC00181122,LAURYL ISOQUINOLINIUMBROMIDE,1000.00,,1258.93,,,1.26,,[O-]S(=O)(=O)c1ccc(C)cc1.CCCCCCCCCCCC[n+]1cc2ccccc2cc1
MMV003291,Leflunomide,5000.00,,223.87,,,0.04,,FC(F)(F)C2=CC=C(NC(=O)C1=C(ON=C1)C)C=C2
NCGC00160383,Lenperone,5000.00,,3548.13,,,0.71,,Fc1ccc(cc1)C(=O)C3CCN(CCCC(=O)c2ccc(F)cc2)CC3
NCGC00167492,LERCANIDIPINE HYDROCHLORIDE,1995.26,,5000.00,,,2.51,,COC(=O)C\1=C(C)\N\C(=C(/C1C2=CC(=CC=C2)[N+]([O-])=O)C(=O)OC(C)(C)CN(C)CCC(C3=CC=CC=C3)C4=CC=CC=C4)C
NCGC00159326,Lincomycin hydrochloride,1000.00,,3162.28,,,3.16,,Cl.O[C@@H]1[C@@H](O)[C@@H](O)[C@H](O[C@@H]1SC)[C@H](NC(=O)[C@@H]2C[C@@H](CCC)CN2C)[C@@H](C)O
NCGC00164601,Liranaftate,5000.00,,3548.13,,,0.71,,COc1cccc(n1)N(C)C(=S)Oc2cc3CCCCc3cc2
LMK-235,LMK-235,1000.00,1000.00,1000.00,,1.00,1.00,,CC1=CC(C)=CC(C(NOCCCCCC(NO)=O)=O)=C1
NCGC00164576,LOPINAVIR,3981.07,,5000.00,,,1.26,,CC(C)[C@@H](C(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)COc3c(C)cccc3C)N4CCCNC4=O
NCGC00095125,LOSARTAN,5000.00,,2818.38,,,0.56,,OCc4c(Cl)nc(CCCC)n4Cc1ccc(cc1)c2ccccc2c3nnnn3
NCGC00023509,Lovastatin,5000.00,,2818.38,,,0.56,,C[C@@H](CC)C(=O)O[C@H]2C[C@@H](C)C=C3C=C[C@H](C)[C@H](CC[C@@H]1C[C@@H](O)CC(=O)O1)[C@@H]23
NCGC00015594,loxoprofen,5000.00,,3981.07,,,0.80,,CC(C(O)=O)C1=CC=C(CC2CCCC2=O)C=C1
MMV000014,Lumefantrine,3.20,7.82,2.07,52.33,2.44,0.65,16.35,CCCCN(CCCC)CC(O)c1cc(Cl)cc2\C(=C/c3ccc(Cl)cc3)\c4cc(Cl)ccc4c12
MMV000014,Lumefantrine,3.00,9.88,,2382.30,3.29,,794.10,CCCCN(CCCC)CC(O)c1cc(Cl)cc2\C(=C/c3ccc(Cl)cc3)\c4cc(Cl)ccc4c12
M1,M1,2.63,13.40,,,5.10,,,O=S1(=O)C=CN(CC1)C1OC2OC3(C)CCC4C(C)CCC(C1C)C42OO3
DDD107498,M5717,1.00,3.57,1.61,0.25,3.57,1.61,0.25,O=C(NCCN1CCCC1)c1cc(nc2ccc(F)cc12)c1ccc(cc1)CN1CCOCC1
MMV643121,M5717 (DDD107498),1.00,3.57,,0.25,3.57,,0.25,O=C(NCCN1CCCC1)c1cc(nc2ccc(F)cc12)c1ccc(cc1)CN1CCOCC1
NCGC00167493,MANIDIPINE HYDROCHLORIDE,3981.07,,5000.00,,,1.26,,Cl.Cl.[O-][N+](=O)c1cccc(c1)C2C(C(=O)OC)=C(C)NC(C)=C2C(=O)OCCN3CCN(CC3)C(c4ccccc4)c5ccccc5
NCGC00015703,MECAMYLAMINE,5000.00,,501.19,,,0.10,,CNC1(C)C2CCC(C2)C1(C)C
NCGC00017062,Meclofenamic acid sodium,5000.00,,501.19,,,0.10,,[Na+].O.Clc2ccc(C)c(Cl)c2Nc1ccccc1C([O-])=O
NCGC00164480,MECLORALUREA,5000.00,,562.34,,,0.11,,CNC(=O)NC(O)C(Cl)(Cl)Cl
NCGC00016563,Meclozine dihydrochloride,5000.00,,1122.02,,,0.22,,Cl.Cl.Cc1cccc(c1)CN2CCN(CC2)C(c3ccc(Cl)cc3)c4ccccc4
MMV000015,Mefloquine,16.00,51.70,100.00,131.95,3.23,6.25,8.25,O[C@H]([C@H]1CCCCN1)c2cc(nc3c(cccc23)C(F)(F)F)C(F)(F)F
NCGC00015680,MELATONIN,5000.00,,2818.38,,,0.56,,COC1=CC2=C([NH]C=C2CCNC(C)=O)C=C1
NCGC00160573,Menbutone,5000.00,,3981.07,,,0.80,,O=C(O)CCC(=O)c1ccc(OC)c2ccccc12
NCGC00016887,Meptazinol hydrochloride,5000.00,,1778.28,,,0.36,,Cl.CN1CCCCC(CC)(C1)c2cccc(O)c2
NCGC00181158,MERCUFENOL CHLORIDE,3981.07,,1584.89,,,0.40,,Cl[Hg]c1ccccc1O
NCGC00181148,METHARBITAL,5000.00,,3548.13,,,0.71,,O=C1NC(=O)N(C)C(=O)C1(CC)CC
NCGC00025060,methotrexate,63.10,,3981.07,,,63.10,,O=C(O)[C@H](CCC(=O)O)NC(=O)c1ccc(cc1)N(C)Cc2nc3c(nc2)nc(N)nc3N
NCGC00015686,METHOXY VERAPAMIL,5000.00,,2818.38,,,0.56,,COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(=C(OC)C(=C2)OC)OC)C=C1
NCGC00159479,METHYL NICOTINATE,5000.00,,501.19,,,0.10,,COC(=O)c1cccnc1
NCGC00167495,METHYL VIOLET,630.96,,3162.28,,,5.01,,C\N=C1/C=C\C(C=C1)=C(/c2ccc(cc2)N(C)C)c3ccc(cc3)N(C)C
NCGC00017010,Methylatropine nitrate,5000.00,,281.84,,,0.06,,C[N+]2(C)[C@H]1C[C@@H](C[C@@H]2CC1)OC(=O)C(CO)c3ccccc3.[O-][N+]([O-])=O
MMV000061,Methylene blue,0.30,13.30,30.00,80.00,44.33,100.00,266.67,CN(C)c1ccc2nc3ccc(cc3[s+]c2c1)N(C)C
MMV000061,Methylene Blue,21.70,62.70,,457.00,2.89,,21.06,CN(C)c1ccc2nc3ccc(cc3[s+]c2c1)N(C)C
NCGC00094135,Minocycline hydrochloride,794.33,,5000.00,,,6.29,,Cl.CN(C)c2ccc(O)c1C(=O)C3=C(O)[C@]4(O)C(=O)C(=C(O)[C@@H](N(C)C)[C@@H]4C[C@@H]3Cc12)C(N)=O
MMV1557817,MIPS1778,32.83,1798.00,,5000.00,54.77,,152.30,CC(C)(C)CC(=O)NC(C(=O)NO)c1ccc(cc1)c2cc(F)c(F)c(F)c2
NCGC00025346,Mirtazapine,5000.00,,3162.28,,,0.63,,CN1CC2N(CC1)c4ncccc4Cc3ccccc23
NCGC00015693,Mitoxantrone dihydrochloride,3981.07,,5000.00,,,1.26,,Cl.Cl.OCCNCCNc3ccc(NCCNCCO)c2C(=O)c1c(O)ccc(O)c1C(=O)c23
MMV1793799,ML10,18.15,5000.00,,5000.00,275.48,,275.48,CN(C)Cc1cc2nc(c3ccc(F)c(NS(=O)(=O)C)c3)c(c4ccnc(NCC5CC5)n4)n2cc1C
MMV1580488,ML324,2060.00,188.00,77.40,,0.09,0.04,,O=C(NCCCN(C)C)C3=CC=C(C2=CC1=CC=CN=C1C(=C2)O)C=C3
MMV390048,MMV0048,24.00,171.00,,101.40,7.13,,4.23,CS(=O)(=O)c1ccc(cc1)c2cnc(N)c(c2)c3ccc(nc3)C(F)(F)F
MMV007224,MMV007224,5000.00,5000.00,,5000.00,1.00,,1.00,Brc1ccc(Nc2nc3ccccc3nc2Nc4ccc(Br)cc4)cc1
MMV011895,MMV011895,233.00,2156.00,,5000.00,9.25,,21.46,Nc1ccc(cc1)c2nc3cc(Oc4ccc(Oc5ccc6[nH]c(nc6c5)c7ccc(N)cc7)cc4)ccc3[nH]2
MMV019721,MMV019721,844.30,3379.00,,1841.33,4.00,,2.18,CCN(CC)S(=O)(=O)c1ccc(Cl)c(c1)C(=O)Nc2ccc3nc(C)sc3c2
MMV020746,MMV020746,5000.00,5487.00,,5000.00,1.10,,1.00,Cc1ccc(Oc2ncccc2C(=O)Nc3cccc4cccnc34)c(C)c1
MMV018052,MMV052 (OZ609),1.30,60.10,,5000.00,46.23,,3846.15,CC1(C)CC(O)(CC(C)(C)N1)COc1ccc(cc1)C1CCC2(OC3(OO2)C2CC4CC3CC(C4)C2)CC1
MMV1577530,MMV1577530,25.87,147.14,,481.57,5.69,,18.61,CC(C)C[C@H](NC(=O)[C@H](CCO)NC(=O)[C@H](CCc1ccccc1)NC(=O)c2cnc(C)s2)\C=C\S(=O)(=O)C
